timestamp,price,quantity,makerTrader,takerTrader,buyerIsMaker
3,96.2133,1,3,2,0
4,95.0623,4,4,1,0
4,96.2133,1,3,1,0
6,96.2133,1,3,3,0
7,97.1558,1,3,4,1
7,95.8074,3,5,4,1
12,95.8074,1,5,2,1
12,95.6529,1,2,4,0
12,96.109,2,5,5,0
13,97.3609,1,1,2,0
13,97.5925,2,3,2,0
13,97.5925,1,3,5,0
13,97.7492,1,3,5,0
13,98.374,1,0,5,0
14,98.615,4,4,3,0
15,98.615,1,4,2,0
15,98.6374,3,5,2,0
17,98.6374,2,5,3,0
17,99.0731,2,2,3,0
17,98.2531,4,3,5,1
19,99.0731,3,2,3,0
20,99.173,3,1,3,0
20,99.4345,1,1,3,0
22,99.2755,1,2,5,0
23,99.2755,4,2,5,0
24,99.4345,3,1,2,0
24,99.4345,1,1,3,0
24,99.4995,1,0,3,0
28,98.6218,2,3,1,1
28,98.5877,2,4,1,1
28,98.2531,1,3,1,1
29,99.3154,1,2,1,0
29,99.4995,1,0,1,0
29,99.774,1,5,1,0
29,97.7417,1,2,4,1
31,99.774,1,5,2,0
31,99.8929,1,3,2,0
34,99.8929,1,3,5,0
35,99.8245,3,3,1,1
35,100.095,1,2,5,0
36,99.8245,1,3,0,1
36,97.7417,3,2,5,1
37,100.095,1,2,0,0
39,97.7417,1,2,2,1
39,97.2876,1,4,2,1
41,97.6939,2,2,1,0
41,98.4603,2,5,1,0
42,100.095,1,2,3,0
42,100.289,3,0,3,0
42,97.2876,2,4,4,1
42,97.2599,1,5,4,1
44,100.408,1,1,5,0
44,100.798,3,5,5,0
47,100.8,1,2,2,0
47,101.078,2,0,2,0
49,100.737,2,1,5,0
49,101.09,3,4,5,0
50,100.207,1,4,1,1
50,97.9614,3,0,1,1
50,97.2599,1,5,1,1
50,97.2599,3,5,3,1
50,97.2212,1,1,3,1
50,97.2031,1,2,3,1
51,101.09,1,4,3,0
51,101.121,2,0,3,0
51,101.234,2,1,3,0
52,100.865,3,0,1,1
53,100.513,1,1,1,0
54,100.513,1,1,3,0
54,101.234,1,1,3,0
54,101.378,1,1,4,0
55,99.5242,3,5,1,1
55,97.2031,2,2,1,1
55,98.2062,2,4,5,0
55,100.033,2,3,5,0
56,101.378,1,1,3,0
57,101.378,2,1,2,0
57,101.389,2,0,2,0
57,101.47,1,2,2,0
57,100.267,1,5,3,1
59,101.47,1,2,4,0
60,101.053,3,5,3,1
61,101.053,1,5,0,1
61,99.1903,1,4,0,1
61,98.9651,2,0,1,0
62,101.47,2,2,0,0
62,101.472,2,0,0,0
63,100.858,1,1,1,1
63,97.8976,1,1,4,0
66,100.235,3,5,4,1
67,101.472,1,0,1,0
68,101.472,1,0,1,0
69,101.511,2,3,0,0
69,101.511,3,3,2,0
69,101.638,1,1,2,0
69,101.671,1,5,2,0
70,100.433,3,4,4,1
71,100.909,1,0,1,0
71,100.909,1,0,2,0
72,100.433,1,4,0,1
72,100.385,2,3,0,1
73,100.71,2,5,1,0
74,100.909,1,0,0,0
74,101.671,1,5,0,0
74,100.235,2,5,3,1
74,98.6081,3,1,3,1
75,101.671,1,5,2,0
77,98.9059,3,2,0,0
78,99.6925,2,0,0,1
78,98.4397,1,5,0,1
81,101.671,2,5,5,0
81,101.706,1,0,5,0
82,100.442,3,5,0,1
82,100.442,2,5,2,1
82,100.394,1,3,2,1
83,100.653,2,4,4,0
84,100.653,3,4,0,0
84,102.196,1,3,0,0
84,102.196,1,3,4,0
84,102.203,3,2,4,0
86,100.394,3,3,0,1
86,100.088,2,1,0,1
87,100.088,1,1,1,1
87,99.5023,1,2,1,1
87,98.7008,2,1,1,1
87,98.6634,1,4,1,1
87,98.6634,1,4,3,1
87,98.3899,1,0,3,1
87,97.8376,1,2,3,1
88,102.005,3,3,2,0
88,102.203,1,2,2,0
88,102.283,1,4,2,0
88,102.283,3,4,4,0
88,102.471,2,1,4,0
89,99.7794,3,5,2,1
89,102.471,1,1,3,0
89,102.484,2,3,3,0
90,99.7794,1,5,3,1
90,99.4581,1,3,5,0
91,101.792,1,5,1,1
91,100.227,3,1,2,0
92,100.571,2,4,2,1
94,100.703,4,2,1,0
95,100.571,1,4,1,1
95,99.9778,4,3,1,1
95,99.2027,1,3,3,1
95,102.486,2,5,4,0
97,101.485,1,5,5,1
98,101.485,3,5,0,1
98,101.043,1,1,3,1
99,99.2262,3,3,3,0
100,99.3942,1,3,1,1
102,102.486,1,5,3,0
102,100.057,1,1,5,1
104,98.9814,1,3,3,1
104,98.9414,3,4,3,1
104,98.9414,2,4,4,1
104,97.8376,2,2,4,1
104,99.0658,1,5,5,0
105,101.881,2,5,1,1
105,102.554,3,4,4,0
105,102.674,1,4,4,0
105,102.675,1,2,4,0
106,101.881,1,5,1,1
106,97.8376,1,2,1,1
106,97.7795,2,5,1,1
106,97.4211,1,5,1,1
108,97.8086,2,2,4,0
111,97.8086,1,2,1,0
113,101.903,2,3,1,0
114,100.998,2,4,0,0
114,100.991,1,1,3,1
114,100.464,2,4,3,1
114,97.4211,2,5,3,1
114,100.998,1,4,4,0
114,101.903,3,3,4,0
116,101.263,1,2,1,1
118,99.2545,2,0,1,1
118,101.875,1,0,2,0
119,101.609,1,5,0,1
119,99.2545,1,0,0,1
120,101.411,2,2,3,0
120,101.875,2,0,3,0
120,102.149,1,3,5,1
121,100.829,1,5,4,0
121,102.5,1,1,4,0
121,102.675,2,2,4,0
123,102.75,3,5,0,0
123,102.782,1,0,0,0
123,102.803,1,2,0,0
123,99.5087,2,1,3,0
124,99.2545,1,0,0,1
124,99.6174,2,2,1,0
124,99.6174,1,2,2,0
130,99.5383,1,4,3,1
130,99.2959,3,2,3,1
130,99.2469,1,0,3,1
131,99.6174,1,2,1,0
131,102.819,2,5,1,0
131,99.2469,3,0,5,1
131,98.9942,2,1,5,1
133,98.9942,2,1,2,1
133,100.845,1,0,3,0
133,101.288,3,3,4,1
134,102.781,3,5,3,1
134,102.781,2,5,4,1
134,101.773,1,0,4,1
138,101.288,1,3,0,1
138,100.891,4,2,0,1
140,100.891,1,2,0,1
140,100.712,1,5,0,1
140,100.711,3,3,0,1
142,100.495,1,5,4,1
142,99.239,2,5,4,1
142,98.9942,1,1,4,1
143,101.699,5,0,4,0
144,98.7792,1,1,2,1
144,102.819,3,5,4,0
146,99.6709,2,1,1,0
146,102.27,3,2,3,1
147,100.528,1,3,5,0
149,99.3667,1,2,2,1
149,99.1049,1,0,2,1
149,99.2815,3,4,5,0
150,99.2815,2,4,1,0
150,99.7837,2,0,1,0
150,99.7837,2,0,2,0
150,100.528,1,3,2,0
151,98.7792,3,1,0,1
151,98.6414,2,5,0,1
151,101.731,3,1,1,0
151,101.731,2,1,3,0
152,102.408,1,3,4,1
153,98.8627,1,3,1,1
155,99.1137,4,0,2,0
155,99.7496,1,4,2,0
155,99.0724,3,0,3,1
155,100.665,2,4,4,0
155,100.665,2,4,5,0
157,100.253,1,5,0,1
157,101.681,1,2,3,0
157,100.253,1,5,4,1
157,99.0724,1,0,4,1
157,98.8627,2,3,4,1
158,101.681,3,2,2,0
158,98.8627,1,3,4,1
158,98.6414,1,5,4,1
160,101.681,1,2,3,0
160,102.455,2,2,3,0
160,102.821,2,1,3,0
160,98.6414,1,5,5,1
160,98.453,2,5,5,1
161,98.4517,3,1,4,1
162,98.4498,2,2,2,1
162,102.035,3,1,3,0
164,98.4335,2,1,2,1
165,101.893,4,2,4,1
165,98.4495,1,3,4,1
165,102.035,1,1,5,0
167,102.698,3,2,4,0
168,99.4615,4,1,4,0
168,102.821,1,1,4,0
169,102.821,1,1,1,0
171,102.555,5,3,2,1
172,98.3629,4,2,0,1
174,99.1564,1,4,0,0
174,99.1564,2,4,2,0
174,99.3668,3,3,2,0
174,99.3668,2,3,4,0
175,97.8122,4,1,4,1
175,99.7918,3,2,5,0
176,99.7918,1,2,2,0
176,100.55,1,4,4,0
178,101.49,2,4,0,1
178,99.9061,1,3,0,1
178,99.9061,4,3,4,1
180,101.662,3,3,0,0
180,101.662,1,3,2,0
180,102.202,1,2,4,1
184,102.202,3,2,4,1
184,101.468,2,1,4,1
185,101.468,2,1,2,1
186,100.816,2,1,1,1
186,100.789,2,0,1,1
186,100.789,1,0,3,1
186,98.9268,1,0,3,1
186,98.6824,2,5,3,1
187,101.548,2,4,2,0
190,98.6824,1,5,1,1
192,97.8968,2,2,2,1
193,97.8122,1,1,3,1
193,97.7483,2,5,3,1
193,97.6923,1,3,4,0
193,98.5416,1,3,5,0
195,98.6254,4,5,1,1
195,97.6212,1,0,1,1
195,98.7592,1,5,4,0
195,100.027,3,4,4,0
195,100.111,1,1,4,0
198,99.2877,3,1,2,0
199,99.2877,2,1,5,0
199,99.4768,1,3,5,0
199,100.111,2,1,5,0
200,100.111,2,1,5,0
202,98.052,3,2,2,1
203,100.395,1,2,4,0
206,98.9843,1,0,3,0
209,98.052,2,2,2,1
209,97.7241,1,2,2,1
210,98.8711,2,5,0,0
210,97.7241,1,2,1,1
210,97.6212,2,0,1,1
210,97.5704,1,3,1,1
211,98.8711,1,5,0,0
211,98.9171,2,3,0,0
211,97.5704,4,3,2,1
211,97.5614,1,0,2,1
211,97.4587,1,5,4,1
211,97.4211,1,5,4,1
213,98.9171,2,3,1,0
213,98.9843,3,0,1,0
213,97.3964,2,5,2,1
213,97.3615,2,5,2,1
213,98.9843,1,0,3,0
213,99.6161,4,2,3,0
214,98.4402,3,5,2,0
214,99.5176,2,3,4,0
215,97.3472,3,4,0,1
218,99.245,3,5,5,1
220,99.5176,2,3,0,0
222,100.171,1,3,1,0
222,100.395,2,2,1,0
222,100.397,2,4,1,0
222,100.397,2,4,2,0
223,99.7667,5,5,5,0
224,100.397,1,4,4,0
224,100.737,2,1,4,0
224,100.788,1,3,4,0
225,99.7496,1,3,0,1
226,100.788,2,3,5,0
227,99.7496,2,3,1,1
227,99.32,1,5,1,1
227,99.245,2,5,1,1
228,100.8,1,5,1,0
231,98.2599,1,1,2,0
231,98.2184,1,3,3,1
231,98.1007,1,0,3,1
231,97.3176,3,1,3,1
231,98.2599,2,1,4,0
232,98.2599,2,1,0,0
234,99.1486,3,0,5,0
235,98.1144,4,1,3,0
236,97.317,2,4,3,1
236,97.2872,2,4,3,1
236,98.1144,1,1,5,0
236,99.9798,2,1,5,0
236,100.857,2,4,5,0
237,100.857,2,4,4,0
237,100.883,1,5,5,0
238,97.2872,2,4,0,1
238,97.2826,1,0,0,1
238,97.2646,2,1,0,1
238,97.2646,2,1,1,1
238,97.2238,3,3,1,1
239,97.2238,1,3,0,1
239,97.1581,1,2,0,1
242,97.3781,1,0,5,0
243,97.2731,2,1,1,1
243,97.1581,1,2,1,1
244,97.3781,2,0,2,0
246,97.3781,1,0,4,0
246,97.4036,3,1,4,0
247,97.1581,3,2,2,1
247,97.1304,1,5,2,1
247,97.0984,2,0,5,1
248,97.4036,2,1,4,0
248,98.5187,2,0,4,0
248,99.4963,1,2,4,0
250,97.2672,3,3,2,1
250,99.4963,3,2,5,0
250,100.168,1,5,5,0
252,100.168,1,5,1,0
252,100.26,2,5,1,0
252,100.26,3,5,5,0
253,99.0672,4,3,5,0
254,100.883,2,5,3,0
255,100.883,2,5,0,0
255,101.018,2,2,0,0
255,101.035,1,1,0,0
257,101.26,3,5,4,0
258,98.9354,3,3,2,1
259,98.9354,1,3,3,1
261,98.182,2,5,0,1
261,98.7612,2,3,1,0
261,98.7612,2,3,4,0
261,99.0287,2,3,4,0
263,99.0287,1,3,0,0
263,99.0287,2,3,2,0
264,100.855,4,4,2,0
264,100.855,1,4,5,0
264,101.433,1,2,5,0
264,101.515,2,4,5,0
264,101.548,1,4,5,0
265,98.0055,1,4,0,1
267,100.239,1,1,3,1
267,99.3197,1,5,3,1
268,99.3197,2,5,1,1
268,101.548,1,4,4,0
268,101.749,2,5,4,0
269,101.749,3,5,0,0
270,101.76,1,3,0,0
270,99.3197,1,5,3,1
270,98.1871,3,2,3,1
270,98.1301,1,1,3,1
273,100.305,1,0,0,1
274,100.305,2,0,0,1
274,100.191,3,1,0,1
275,100.191,2,1,4,1
275,98.6056,1,2,4,1
275,98.1301,1,1,4,1
275,98.0055,1,4,4,1
278,100.391,3,0,1,1
278,101.004,3,0,2,0
278,101.004,2,0,4,0
278,101.572,1,5,4,0
280,100.857,3,4,2,0
280,101.572,1,5,3,0
280,101.76,1,3,3,0
280,101.9,1,0,3,0
